"question","answer"
" آیا این امکان وجود دارد تا بتوانم نامه‌ای را همزمان با بایگانی از کارتابلم حذف کنم ؟ " , "􈠠برای این کار کافیست نامه مورد نظر را در کارتابل انتخاب کنید و گزینه حذف از کارتابل را از نوار ابزار بالای صفحه انتخاب کنید، در صفحه جدیدی که باز می‌شود می‌توانید همزمان شرح اقدام انجام شده روی نامه را درج کرده و همچنین نامه را در پوشه مربوطه بایگانی و با انتخاب گزینه تایید آن را حذف کنید به این طریق نامه شما همزمان بایگانی و از کارتابلتان نیز حذف می‌شود. #آزمون #سطح0 "
" نامه‌ای به اشتباه به کارتابل من آمده، چگونه می‌توان آن را برای ارسال کننده آن برگردانم؟ " , "􈠠برای این منظور کافیست نامه مورد نظر را از کارتابل انتخاب کرده و از نوار ابزار بالای صفحه گزینه عودت را انتخاب کنید. با انتخاب این گزینه در صفحه‌ای که برای شما باز می‌شود دلیل عودت یا برگشت نامه را می‌توانید درج کنید و سپس با انتخاب عودت، نامه را بازگردانید. #آزمون #سطح0 "
" چگونه فرم چاپی اختصاصی خودم را داشته باشم؟ " , "􈠠برخی از فرم‌ها در سیستم‌های مالی-اداری پیوست به طور پیش فرض دارای چند فرم چاپی هستند که کاربر می‌تواند یکی از این فرمت‌های چاپی را برای خود به عنوان پیش فرض انتخاب نماید. این عمل به سادگی با استفاده از کلید ترکیبی Alt+Q‌ و کلیک روی گزینه "به عنوان پیش فرض" انجام خواهد شد. توجه داشته باشید که این تنظیم شخصی است و کاربر دیگر در شبکه می‌تواند پیش فرض دیگری برای خود انتخاب نماید. در مورد گزارش‌هایی که فرم چاپی منفرد داشته و یا فرمت‌های چاپی آماده، مورد نظر کاربر نباشد، کاربر خواهد توانست با ورود به محیط طراحی گزارش، از گزارش مورد نظر save as گرفته و تغییرات دلخواه خود را اعمال و گزارش را ذخیره و به عنوان پیش فرض تنظیم نماید. "
" نحوه صدور چک در سازمان‌های دولتی چگونه است؟ " , "􈢠کلیه پرداخت‌ها در سازمان‌های دولتی به وسیله چک انجام می‌شود. برای پرداخت یک چک ابتدا سند حسابداری مربوطه صادر شده و پس از طی مراحل اداری اقدام به صدور چک خواهد شد. در سیستم حسابداری در فرم سند حسابداری، با قرار گرفتن بر روی آرتیکل بانک و زدن کلید اسناد پرداختنی می‌توان یک چک به آرتیکل مورد نظر نسبت داد. در این زمینه توجه به موارد زیر حائز اهمیت است: 1- حساب بانک مورد نظر باید در قسمت معرفی مجموعه حساب‌های بانک معرفی شده باشد. 2- حساب بانک در آرتیکل مورد نظر بستانکار شده باشد. 3- سیستم حسابداری با ساختار دولتی ساخته شده باشد. 4- در این حالت نیازی به دادن حساب دریافت کننده چک وجود ندارد. 5- اگر در شرح آرتیکل توضیحی نوشته شود پس از اینکه بر روی اسناد پرداختنی کلیک کنیم در قسمت توضیحات چک نیز مشاهده می‌شود. 6- در صورت صدور چک با این روش، آرتیکلی ایجاد نخواهد شد و فقط در شرح آرتیکل، شماره چک صادر شده مشاهده می‌شود. "
" روی کارتابلم برای نامه‌های ورودی عملیات اتوماتیک تعریف کرده‌ام، اما وقتی آن را تست می‌کنم کار نمی‌کند، مشکل چیست؟ " , "􈠠پس از تعریف کردن عملیات اتوماتیک روی کارتابلتان در صورتی که عملیات اجرا نشد یک بار از برنامه خارج شده و دوباره وارد شوید تا تغییرات را برای شما اعمال کند.همچنین ممکن است شرط تنظیم شده برای عملیات اتوماتیک به درستی تنظیم نشده باشد  #اصلاح  متن مورد نظر اصلاح شد  #آزمون #سطح1 "
" آیا گزارش‌های چاپی آماده سیستم قابل حذف می‌باشند؟ " , "􈠠گزارش‌های چاپی آماده سیستم قابل حذف نیست ولی گزارش‌هایی که خود کاربر با استفاده از امکان Save As فرم‌های آماده ایجاد کرده است، با کلید ترکیبی Alt+R و با تایید کاربر قابل حذف می‌باشند. "
" با توجه به تعدد مدارک تحصیلی پرسنل، مدرک نمایش داده شده در فرم مدیریت پرسنل کدام مدرک است؟ " , "􈠠با توجه به احتمال تعدد مدارک، مقاطع و رشته‌های تحصیلی هر پرسنل و امکان ورود همه این سوابق در قالب سوابق تحصیلی پرسنل، تنها آخرین مقطع، مدرک و رشته تحصیلی با توجه به تاریخ جاری سیستم نمایش داده می شود (آخرین بر اساس تاریخ موثر سوابق تحصیلی وارد شده ارزیابی می‌شود) 🟤 نکته: سیستم با وضعیت تاهل نیز مشابه مدرک تحصیلی عمل می‌نماید. "
" با اجرای برنامه پیام دریافت کد رمز نمایش داده می‌شود. مشکل چیست؟ " , "􈠠اولین مورد که باید در نظر بگیریم این است که این پیام بعد از شناسایی قفل سخت‌افزاری توسط نرم‌افزار به ما داده شده است. بنابراین مشکلی روی قفل یا درایور آن نداریم. این پیام در اولین نصب سیستم و هنگامی که برنامه می خواهد دیتابیس common را ایجاد کند نمایش داده می‌شود تا با دریافت کد رمز مخصوص شرکت خریدار این دیتابیس ایجاد شود و هر زمانی نرم‌افزار نتواند با دیتابیس common ارتباط برقرار کند این پیام را نمایش می‌دهد. بهترین راه حل برای فهمیدن مشکل وارد نمودن کد رمز می‌باشد و با مشاهده خطای نمایش داده شده توسط سیستم می‌توانیم مشکل را برطرف کنیم. انواع خطاها و راه حل آنها به شرح زیر است: SQL Server Does Not Exist Or Access Denied:SQL Server نصب نشده است.در صورت نصب، آدرس آن به درستی در فایل System.cfg وارد نشده است. -- این مورد معمول‌ترین مشکلی است که پیش می‌آید.نرم‌افزار پیوست دسترسی لازم برای ارتباط با SQL Server را ندارد.اگر از روی Client‌ می‌خواهیم به Server ارتباط برقرار کنیم ممکن است روی Server یک FireWall داشته باشیم که پورت‌های ارتباطی SQL Server روی آن بسته باشد.اگر اسم کامپیوتر سرور عوض شده باشد همان مشکل مربوط به وارد شدن اسم نادرست در System.cfg‌ را داریم. Login Failed for user sbsc:در این حالت نرم‌افزار ارتباط با SQL Server را برقرار کرده ولی sbsc‌ نمی‌تواند به آن Login کند. Login Failed for user sa:در این حالت نرمافزار نصب شده از sbsc ‌برای اتصال به SQL Server استفاده نمی‌کند و به جای آن از sa استفاده می‌کند. با توجه به اینکه تمامی نسخ تجاری پیوست از sbsc‌ استفاده می‌کنند از نسخه نرم‌افزار اشتباهی استفاده می‌کنید. بهتر است از واحد نرم‌افزار بخواهید نسخه مربوطه را عوض کند (از این نسخه در مراکز خاص استفاده می‌شود). "
" روش ورود اطلاعات درست در فایل System.cfg به چه صورت است؟ " , "􈠠این فایل نگهداری کننده تنظیمات کاربر برای اتصال نرم‌افزار پیوست به بانک اطلاعاتی می‌باشد . این فایل در محل فولدر System در مسیر نصب برنامه نگهداری می‌شود (این فایل با NotePad‌ باز می‌شود). در خط اول این فایل مسیر نگهداری شدن فایل‌های اطلاعاتی مربوط به دیتابیس common روی سرور نوشته می‌شود.در خط دوم بعد از کلمه =SERVER که حتما باید با حروف بزرگ نوشته شود اسم SQL Server Engine که ما می‌خواهیم دیتابیس‌های مربوط به برنامه در آنجا رجیستر کنیم (نگهداری یا ایجاد کنیم) را می‌نویسیم. در نوشتن این نام نکات زیر را مدنظر قرار دهید: در صورتی که در شبکه DNS وجود ندارد (در شبکه‌های Workgroup ) به جای نام سرور در System.cfg از IPAddress می‌توانیم استفاده کنیم.در صورتی که SQL Server Engine به شکل Instance‌ نصب شده باشد، می‌توانیم از ترکیب نام سرور و نام Instance ‌و یا IP و نام Instance استفاده کنیم. در این مورد یا ورود اطلاعات IP به تنهایی سیستم خطای کد 213 را خواهد داد.وارد نمودن سمی کالمن (;) بعد از اتمام نام سرور الزامی می‌باشد. 🟤 نکته 1: در بعضی موارد نام سروری که نصب شده از کاراکترهای غیرمجاز برای SQL Server تشکیل شده است که در این شرایط باید این نام عوض شود (مانند PC1-56Afv/88) 🟣 مثال : ;192.168.0.1 =SERVER ; SERVER=Fileserver ; SERVER=Fileserver\inst ; SERVER=192.168.0.1\inst 🟤 نکته 2: برای نسخه‌های تک کاربره می‌توان در صورتی که از Instance استفاده نشده است به جای نام سرور از عبارت (local) استفاده نمود (پرانتزها هم باید وارد شود). از این امکان برای تست ارتباط با سرور در صورتی که برنامه را از روی سرور اجرا کنیم هم می‌توان استفاده نمود "
" روش ارتباط بین نرم‌افزار پیوست و SQLServer به چه صورت برقرار می‌شود؟ " , "􈠠برای برقراری ارتباط نرم‌افزار پیوست با SQL Server این نرم‌افزار باید توسط یک Username و یک Password مجاز به SQL Server‌ ، وارد شود (Login کند) تا به اصطلاح Authenticate شود. برای این منظور نرم افزار پیوست از یک Login پیش فرض به نام sbsc استفاده می کند که باید در قسمت Security\Logins در SQL Server‌ مربوطه تعریف شود (این کار به صورت خودکار در autorun برنامه انجام می‌شود ولی به صورت دستی هم می‌توان آن را ایجاد نمود) Password‌ این Login به صورت پیش فرض hslhk hfd kvlhtchv می‌باشد که در صورت تعریف به صورت دستی باید وارد شود. سطح دسترسی این Login هم باید در سطح sysadmin قرار گیرد. 🟤 نکته 1: در SQL Server2005 ,2008 باید مدنظر داشت که تنظیمات (تیک ها) مربوط به Enforce Security Policy حتما برای این login برداشته شود (هر سه تیک برداشته شود). باید در نظر داشت که تنظیم اولیه نصب SQL Server ها به صورتی است که فقط به کاربران Admin در ویندوز اجازه وارد شدن به سیستم را می‌دهند و در قسمت Properties در Sqlserver Engine در بخش Security باید تنظیم را از Windows Only به SQL Server and Windows تغییر داد تا Login هایی مثل sbsc هم اجازه وارد شدن به SQL Server را داشته باشند. 🟤 نکته 2: در برقراری ارتباط بین نرم افزار و SQL Server به صورت پیش فرض از پورت 1433 TCP استفاده می‌شود. در صورتی که بین Client‌ و Server فایروال وجود داشته باشد این پورت باید روی آن باز شود. برای تست برقراری ارتباط و رفع مشکل می‌توان فایروال را به صورت موقت خاموش کرد ولی راه درست باز شدن فقط همین پورت روی فایروال برای جلوگیری از کاهش امنیت سرور می‌باشد. "
" برای انتقال اطلاعات شرکت خریدار به پیوست، از چه روشی استفاده کنیم؟ " , "􈠠برای انتقال اطلاعات از شرکت خریدار به شرکت پیوست دو راه وجود دارد: BackUp گرفتن: این روش پیشنهاد می‌شود به دلیل کم حجم تر بودن فایل برای انتقال و احتمال خراب شدن کمتر.Detach کردن و کپی کردن فایلهای فیزیکی: بهتر است از از این روش تنها در مواردی که اجبار وجود دارد استفاده شود. به عنوان مثال اگر بخواهیم Databaseی را از SQL 2008 به SQL 2005 انتقال دهیم نمی‌توان از روش اول استفاده کرد. در این شرایط ابتدا از مسیر فایل فیزیکی اطمینان حاصل کرده و بعد از آن فایل را Detach کنید. امکان Stop کردن سرویس SQL نیز هست ولی ممکن است DataBase مجددا Attach نشود. در این حالت اجباری برای کپی گرفتن از فایل LOG وجود ندارد ولی این کار پیشنهاد می‌شود. "
" نحوه ارتباط حساب‌ها با تفصیلی‌ها در سیستم حسابداری چیست؟ " , "􈢠روش در سیستم حسابداری ارتباط حساب‌ها و تفصیلی‌ها به صورت ستاره‌ای است. در این مدل ارتباطی، حساب را به عنوان هسته مرکزی در نظر گرفته و هر یک از تفصیلی‌ها را می‌توان به این حساب متصل نمود. ویژگی‌های این نوع از ارتباط شامل موارد زیر است: هر یک از سطوح 6گانه می‌توانند بدون واسطه به حساب اصلی (سطح آخر) مرتبط شوند.سطوح تفصیلی به یکدیگر مرتبط نمی‌شوند.با توجه به ویژگی‌های تعریف شده بالا، می‌توان برای هر حساب فقط یک مسیر ارتباطی تعریف نمود (یک شاخه). 🟤 نکته : این امکان وجود دارد که برای هر گروه کاری کنترل ارتباط حساب و تفصیلی را در فرم‌های عملیاتی اجباری نمایید. برای این کار کافیست در تنظیمات عمومی گروه کاری، آیتم شماره 6 یا "کنترل اجباری ارتباط حساب و تفصیلی" را فعال کنید. "
"Stored Procedure به چه معناست؟ " , "􈠠Stored Procedure ها رویه‌‏های (دستورات SQL که با توالی مشخصی اجرا می‌شوند و به آن نامی اختصاص داده می‌شود) ذخیره شده در دیتابیس هستند، که به یک با چند دلیل از دلایل زیر استفاده می‌شوند: 1- به علت چندین بار تکرار در محل‌های متفاوت یک بار نوشته شده و باعث خوانایی برنامه می‌شود. 2- پروسس‌هایی که گاهی بسیار زمان گیر بوده را از طرف کلاینت به سمت سرور برده و ترافیک شبکه را کاهش و سرعت اجرا را افزایش می‌دهد. 3- به دلیل آنکه در DataBase ذخیره شده امکان Debug کردن برنامه بعد از Release شدن برنامه را سهل‌تر می‌کند. "
" Function چیست؟ " , "􈠠Functionها رویه‌هایی شبیه به SP ها هستند (SPها توضیح داده شده اند-آیتم کد 215) با این تفاوت که بعد از اجرا توانایی برگرداندن یک مقدار را دارند، ولی در SP ها یا خروجی نداریم و یا یک آرایه از مقادیر را داریم (البته این جمله 100% صحت ندارد). در Function ها نقطه ضعف‌هایی وجود دارد که باعث ضعیف شدن آن‌ها در برابر SP ها بوده ولی در مقابل آن به سادگی در هر بخش از دستور Select قابل استفاده می‌باشند. "
" چگونه می‌توان به صورت گروهی تحویل گیرنده دارایی‌ها را تغییر داد؟ " , "􈠠برای تغییر تحویل گیرنده گروهی از دارایی‌ها به صورت یکجا به ترتیب زیر عمل کنید: 1- از منوی اموال و دارایی ثابت، فرم مدیریت اسناد دارایی را باز کرده و یک سند تغییر تحویل گیرنده ایجاد کنید. 2- روی دکمه "G" در قسمت چپ بالای فرم کلیک کنید. 3- سپس دکمه "جدید" را کلیک کرده و در فیلد "نام دارایی" Enter کنید. 4- فرم انتخاب دارایی نمایش داده می‌شود. در این فرم طبقه و نوع مورد نظر را انتخاب کنید. در هر دو فیلد می توانید با صفر و Enter همه طبقات یا همه انواع را انتخاب کنید. همچنین از طریق علامت دوربین وضعیت دارایی را نیز انتخاب کنید. 5- در فیلد پلاک دارایی می‌توانید با کلید F3 نوع جستجو را به تحویل گیرنده تغییر دهید و لیست جستجو را بر اساس دارایی‌های در اختیار تحویل گیرنده خاصی فیلتر کنید. همچنین با استفاده از % و Enter لیست همه دارایی‌ها قابل مشاهده است. اینک با نگه داشتن کلید Shift و از طریق کلید جهت نمای پایین کیبورد، دارایی‌های مورد نظر خود را از لیست انتخاب و فرم را تایید کنید.  6- سپس "تحویل گیرنده فعلی" را نیز انتخاب کرده و با علامت تیک سبز، سند تغییر تحویل گیرنده دارایی را تایید کنید.  پس از تایید پیغام سیستم، کلیه دارایی‌های انتخابی در اختیار تحویل گیرنده جدید قرار می‌گیرد و به تعداد N دارایی انتخاب شده رویداد تغییر تحویل گیرنده ثبت می‎‌شود. "
" چگونه می‌توان هنگام صدور حکم کارگزینی لیست شرح احکام قابل انتخاب را بر اساس نوع حکم محدود نمود؟ " , "􈠠برای انجام این کار مراحل زیر را دنبال نمایید: 1- ابتدا از منوی اطلاعات پایه وارد فرم شرح احکام شوید و شرح حکم دلخواه را انتخاب نمایید . 2- بروی کلید انواع احکام مرتبط در قسمت پایین فرم کلیک کنید. 3- حال از بین انواع احکام در قسمت راست فرم باز شده، بر روی نوع حکم دلخواه دوبار کلیک نمایید تا به قسمت چپ فرم (انواع حکم انتخاب شده) افزوده شود و در نهایت کلید تائید را بزنید. با این کار هنگام صدور حکم کارگزینی، کاربر پس از انتخاب نوع حکم، با فرمی مواجه خواهد شد که در آن تنها شرح احکام مرتبط با نوع حکم انتخابی نمایش داده می‌شود و می‌تواند شرح حکم دلخواه را انتخاب نماید. این امکان به کاربر کمک می‌کند تا از انبوه شرح حکم‌های موجود تنها شرح احکام مرتبط با نوع حکم را مشاهده نماید و انتخاب شرح احکام برای او ساده‌تر خواهد بود و همچنین امکان خطای کاربر در انتخاب شرح احکام کاهش می‌یابد. "
" کاربرد دکمه "عناوین سازمانی" در فرم پست‌های سازمانی چیست؟ " , "􈠠عناوین سازمانی یکی از پارامترهای اطلاعات پرسنلی است که در فرم پارامترهای عمومی تعریف و در فرم اطلاعات پرسنلی ثبت می‌شود. این امکان وجود دارد که برای هر پست، عناوین سازمانی مرتبط تعریف شود که این عمل از طریق گزینه "عناوین سازمانی" و انتخاب عناوین سازمانی مورد نظر انجام می‌شود. این عمل باعث خواهد شد که با انتخاب پست خاص تنها عناوین سازمانی تعیین شده قابل انتخاب باشند. 🟣 مثال: اگر عناوین سازمانی "کارشناس" و "کارشناس ارشد" برای پست سازمانی "حسابدار" درنظر گرفته شود، با انتخاب پست حسابدار برای پرسنل تنها عناوین "کارشناس" و کارشناس ارشد" قابل انتخاب می‌باشد. "
" نکات مفید و مهم در خصوص گزارش تراز آزمایشی چیست؟ " , "􈠠برخی نکات مفید در خصوص تراز آزمایشی به شرح زیر است: 1- تراز آزمایشی گزارشی است که طی آن عملکرد ثبت اسناد بر اساس حسابداری دوبل با آن چک شده و صحت عملکرد حسابداران را نشان می‌دهد (باید جمع ستون‌های بدهکار و بستانکار جفت در هر ستون از گزارش برابر باشند) بنابراین اگر در حسابداری سنتی تراز آزمایشی ناتراز باشد نشان از عملکرد نادرست و گزارش اشتباه و یا ثبت‌های اشتباه مالی و ورود سندهای ناتراز به مجموعه است. 2- این گزارش معادل ترازنامه شرکت بعلاوه گزارش سود و زیان است (در دو ستون آخر) و در صورت بسته شدن تمامی حساب‌های موقت، معادل تراز نامه است. 3- تراز آزمایشی بر دو اساس نمایش داده می‌شود (تراز بر اساس سندهای ثبت شده در محدوده تاریخی دلخواه یا سندهای ثبت شده و ثبت نشده در محدوده زمانی دلخواه) 4- تراز در فرم‌های دو و چهار و شش و هشت ستونی نمایش داده می‌شود. دو ستون انتهایی تراز (مانده بد و بس در انتهای دوره) در تمامی انواع تراز آزمایشی یکسان است. 5- اگر در تراز آزمایشی مانده دو ستون اول گزارش درست نباشد حالتی است که یک یا چند سند متعلق به این دوره مالی داریم که تاریخ سندشان قبل از ابتدای دوره مالی است و در تراز آزمایشی نمایش داده می‌شوند (کاربر محدوده تاریخی را در تعریف محدوده دوره مالی تغییر داده ولی سندهای این محدوده را جابجا نکرده است). 6- در تراز آزمایشی باید در نظر گرفت که تراز زیرمجموعه‌های یک حساب کل یا یک حساب معین از لحاظ علم حسابداری تراز نیستند (گردش بدهکار و بستانکارشان مساوی نیست) و گزارشی از مانده و گردش این حساب‌ها هستند. 7- گزارش تراز دو ستونی از تاریخ D1 تا تاریخ D2 در واقع گزارش کلیه حساب‌هایی است که در تاریخ D2 دارای مانده هستند. "
" دلایل ناتراز بودن تراز آزمایشی چیست؟ " , "􈢠اگر تراز آزمایشی در سیستم حسابداری پیوست ناتراز باشد، در دو وضعیت می‌توان آن را بررسی کرد : 1- در صورتی که ناترازی در سطح کل باشد : در این صورت یک سند ناتراز در سیستم حسابداری ثبت شده است. این مورد می‌تواند از حذف ناقص آرتیکل‌ها توسط سیستم و ثبت مانده بدون اسناد و یا کانورت اشتباه اطلاعات توسط پرسنل فنی یا ورود اطلاعات سند ناتراز از سیستم دیگری داخل پیوست ناشی شده باشد. 2- در صورتی که تراز آزمایشی در سطح کل تراز بوده و در سطوح معین یا تفصیلی ناتراز باشد : در این صورت ما سندی مالی داریم که در این تراز شرکت کرده و دارای آرتیکلی است که در آن از حسابی غیر از حساب‌های در سطح آخر استفاده شده است. مثلا یک حساب کل به نام موجودی بانک‌ها داریم و دو بانک به نام بانک سپه و ملی نیز به عنوان سرفصل معین داریم. در صورتی که با حساب کل موجودی بانک‌ها سند زده باشیم، تراز آزمایشی در سطح کل تراز و در سطح معین ناتراز خواهد بود. سه راهکار برای حل مشکل ناترازی در تراز آزمایشی پیشنهاد می‌شود : 1- راه حل اول برای پیدا کردن سند ناترازکننده، کوچک کردن محدوده تاریخی یا سندی گزارش تراز آزمایشی است تا در نهایت سند مورد نظر یافت شود. 2- روش دوم این است که با مشاهده تراز در سطح معین می‌توانیم حسابی که هم خودش و هم زیرمجموعه‌هایش در تراز آزمایشی ظاهر شده‌اند را پیدا کنیم. حال با گزینش در دفتر روزنامه بر اساس این شماره حساب می‌توان آرتیکل‌های موردنظر را یافت. (این مورد بیشتر از ارتباط نادرست مجموعه حساب‌ها با حساب‌های دارای حساب زیرمجموعه به وجود می‌آید) 3- راه حل سوم مرتب کردن دفتر روزنامه بر اساس شماره حساب و پیدا کردن آرتیکل‌های مورد نظر است. در این حالت حساب کل درگیر شده قبل از معین‌ها یا تفصیلی‌هایش نمایش داده می‌شود. "
" نکات قابل توجه در نوشتن برنامه تولید محصول ترکیبی چیست؟ " , "􈢠در نوشتن برنامه تولید محصول در حالت ترکیبی باید نکات زیر مدنظر قرار گیرد: 1- کالایی را می‌توانیم به عنوان مواد اولیه استفاده کنیم که نوع آن "مواد اولیه" یا "آماده برای فروش" و یا "کالای نیمه ساخته" باشد. 2- کالایی را می‌توان به عنوان محصول انتخاب کرد که نوع آن کالای "آماده برای فروش" و یا "کالای نیمه ساخته" باشد. 3- برنامه تولید برای تولید یک واحد از محصول به کار می‌رود بنابراین این نوع تولید برای ساخت محصولاتی که به صورت مایع ترکیبی یا درون میکسرها و... تولید می‌شوند و خروجی‌های متغیر دارند مناسب نیست (برای تولید این نوع کالاها، برنامه تولید محصول در حالت تفکیکی را مطالعه نمایید) 4- در نوشتن فرمول باید به انبار تامین کننده مواد اولیه که در فرمول به عنوان انبار مبدا مواد اولیه وارد می‌شود، دقت کنیم. 5- در محیط رسید محصول می‌توان سربار و دستمزد را در بهای تمام شده وارد نمود ولی در تولید صنعتی معمولا هزینه دستمزد و سربار بر اساس نرخ‌های استاندارد برای هر واحد تولید محاسبه شده و می‌تواند در برنامه تولید قرار گیرد. 6- می‌توان کالایی که خود برنامه تولید دارد را درون برنامه تولید دیگر به عنوان ماده اولیه استفاده نمود ولی تولید محصول دوم باعث تولید شدن محصول اول نخواهد شد. 7- در صورتی که برنامه تولید یک کالا در موارد خاص تولید بتواند تغییر کند (یعنی همیشه ثابت نباشد) عامترین و معمولترین فرمول ساخت را برایش وارد می‌کنیم و در موارد خاص تغییر به جای تغییر برنامه تولید اصلی در رسید محصول، برنامه تولید را احضار کرده و آن را بنابر آن تولید خاص در آن تاریخ تغییر می‌دهیم و پس از استفاده در تولید می‌توانیم آن برنامه تولید را در صورت عدم استفاده بعدی غیرفعال کنیم. "
" DataType ها (انواع داده‌ها) در SQL چیستند؟ " , "􈠠1- Bit کوچکترین DataType در SQL بوده که نگهدارنده مقدار 0 و یا 1 در جداول است. 2- Tiny Int نگهدارنده مقدار عددی صحیح بین 0 تا 256 بوده که دارای طول یک بایت است. 3- Small Int که نگهدارنده مقادیر عددی صحیح بین (منفی 2 بتوان 15) تا مثبت همین عدد بوده و دارای طول دو بایت می‌باشد. 4- Int نگهدارنده مقدار عددی بوده و پراستفاده‌ترین نوع برای ذخیره کردن مفادیر صحیح بوده و دارای طول 4 بایت می‌باشد. (ستون‌هایی که بخواهیم Identity باشند در اکثر مواقع از این نوع می‌باشند) 5- BigInt نگهدارنده مقدار عددی بوده و دارای طول 8 بایت است. 6- Float نگهدارنده اعداد اعشاری با ممیز شناور (یعنی اگر ممیز نداشته باشد می‌تواند عدد صحیح بزرگتری را ذخیره کنند). این نوع داده‌ای 8 بایت طول دارد. 7- Decimal برای نگهداری اعداد اعشاری با ممیز غیر شناور بوده و می‌توانند تا اعداد با طول 24 رقم را ذخیره کند و طول داده‌ای بین 9 تا 13 بایت دارد. به گونه‌ای که همراه با مشخص کردن نوع Decimal دو عدد متوالی مثل 2, 22 ذکر می‌شود و نشان دهنده آن است که طول عدد ذخیره شده حداکثر 22 رقم با در نظر گرفتن اعشار بوده (یعنی 19 رقم صحیح یک علامت اعشار و 2 رقم عدد اعشاری در جمع 22) 8- Char برای ذخیره کاراکتر با طول ثابت که همراه با مشخص کردن این نوع باید تعداد کاراکترها را نیز مشخص کرد و طول فیلد برابر با تعداد کاراکترها با واحد بایت است. 9- VarChar برای ذخیره کاراکتر با طول متغییر که همراه با مشخص کردن این نوع باید حداکثر تعداد کاراکترها را نیز مشخص کرد و طول فیلد برابر با تعداد کاراکترها با واحد بایت است. این نوع حداکثر 8000 کاراکتر را ذخیره می‌کند. (تفاوت Char با VarChar در آن است که اگر کلمه Ali را در فیلد با 5 کاراکتر ذخیره کنیم در اولی به صورت ' Ali' و در دومی به صورت 'Ali' ذخیره می‌شود.) 10 و 11- nChar و nVarChar که برای ذخیره کاراکتر بوده و بزرگترین فرق آن با موارد بالا در UniCode بودن آن است (برای ذخیره فارسی بهتر است) و طول فیلد آن دوبرابر تعداد کاراکترها با واحد بایت است. nVarChar حداکثر 4000 کاراکتر را ذخیره می‌کند. 12- DateTime برای ذخیره سازی تاریخ و ساعت با طول فیلد 8 بایت است. 13- Text این نوع داده برای ذخیره متن با طول بسیار زیاد (معمولا بیش از 8000 کاراکتر) مورد استفاده قرار می‌گیرد. 13- Binary برای ذخیره اطلاعات باینری مورد استفاده قرار می‌گیرد. "
" نحوه استفاده از حقوق و دستمزد و سربار متغیر در برنامه تولید کالا چگونه است؟ " , "􈢠در تولید کالا به روش استاندارد، می‌توان مقادیر ثابتی از دستمزد و سربار را نیز در بهای تمام شده هر واحد محصول در نظر گرفت. در برنامه تولید یک محصول از کالاهای آماده برای فروش و نیمه ساخته و مواد اولیه استفاده می‌شود و نمی‌توانیم از کالای خدماتی استفاده کنیم. برای این منظور می‌بایست دو کالای جدید در سیستم تعریف شود و واحد آنها را نیز ریال در نظر بگیریم. (کالای اول = دستمزد تولید و کالای دوم = سربار تولید) همچنین دو انبار نیز تعریف می‌کنیم (انبار کالای اول = کنترل هزینه حقوق و انبار کالای دوم = کنترل هزینه سربار) و حساب مالی مربوط به این دو انبار را نیز به این دو حساب کنترلی وصل میکنیم (حساب مورد نظر ثبت‌های بستانکار و کاهنده هزینه خواهد داشت). به عبارت دیگر دو انبار خواهیم داشت که به حساب‌های کنترل دستمزد و کنترل سربار متصل هستند و کالاهایمان را نیز تنها به این انبارها وصل می‌کنیم. حال به این دو کالای فرضی یک موجودی اولیه به مقدار خیلی زیاد می‌دهیم که مطمئن شویم در طول دوره بیش از آن میزان جذب دستمزد و سربار نخواهیم داشت (برای این موجودی فرضی در سند افتتاحیه سند مالی نزنید!) این عدد اگر برحسب حداکثر ظرفیت تولید وارد شود می‌تواند گزارش مقایسه‌ای نیز در اختیار ما قرار دهد. اینک اگر این دو کالا را در هر برنامه تولیدی استفاده کنیم با توجه به واحد ریال که برای آنها تعریف شده است، بهای تمام شده کالا را تحت تاثیر قرار خواهند داد. مثلا می‌توان در برنامه تولید یک محصول 1000 واحد (ریال) دستمزد تولید و 300 واحد (ریال) سربار تولید را وارد نمود و با تولید هر میزان محصول، این کنترل‌ها به طور خودکار، سند مالی مناسب برای جذب کنترل دستمزد و سربار را در بهای تمام شده کالا صادر خواهند نمود. "
" Table (جدول) در SQL چیست؟ " , "􈠠برای ذخیره اطلاعات در SQL باید این اطلاعات به صورت جداولی تهیه و ذخیره شوند. منظور از جدول ساختار منطقی آن می‌باشد، به این صورت که برای هر جدول نام مشخص می‌کنیم و تعیین می‌کنیم این جدول از چه ستون‌هایی تشکیل و هر یک از این ستون‌ها چه نوع داده‌ایی را ذخیره می‌کنند. لازم به ذکر است که تعداد ستون‌ها محدود بوده و بسته به طول هر فیلد مشخص می‌شود (طول هر رکورد نباید بیش از 8 کیلو بایت باشد مگر آنکه حاوی نوع Image باشد). تعداد ستون‌ها محدود ولی تعداد ردیف‌ها در عمل نا محدود است (بازه محدودیت تعداد ردیف‌ها به قدری بالا است که در عمل رخ نمی دهد). این جداول تنها حالت منطقی دارند و در فایل به صورت جدول ذخیره نمی‌شوند. "
